S NO.	COMPANY NAME	COMPANY CATEGORY
228	DIRECTORATE OF STATIONAR	CAT G
229	DIRECTORATE OF SUPPLIES	CAT G
230	DIRECTORATE OF SURVEY AN	CAT G
231	DIRECTORATE OF T & C	CAT G
232	DIRECTORATE OF TECH EDUN	CAT G
233	DIRECTORATE OF TOWN	CAT G
234	DIRECTORATE OF TRAINING	CAT G
235	DIRECTORATE OF TREASURY	CAT G
236	DISCOUNT & FINANCE HOUSE OF INDIA L	CAT G
237	DOORDARSHAN	CAT G
238	DTE	CAT G
239	DTE GENERAL OF E M E	CAT G
240	DTE GENERAL OF HEALTH SE	CAT G
241	DTE GENERAL OF MILIARY	CAT G
242	DTE GENERAL OF SUPPLIES	CAT G
243	DTE OF ANIMAL HUSBANDARY	CAT G
244	DTE OF HORTICULTURE	CAT G
245	DTE OF MEDICAL & RURAL	CAT G
246	DTE OF SOCIAL WELFARE	CAT G
247	E C G C OF INDIA	CAT G
248	E I L	CAT G
249	ELECTION COMMISSION OF INDIA	CAT G
250	ELECTRONICS & COMPUTER SOFTWARE EXPORT COUNCIL	CAT G
251	EMPLOYEE PROVIDENT FUND ORGANISATION	CAT G
252	EMPLOYEE STATE INSURANCE CORP (ESI)	CAT G
253	ENFORCEMENT DIRECTORATE	CAT G
254	ENGINEERING PROJECTS INDIA LIMITE	CAT G
255	EPC FOR HANDICRAFTS	CAT G
256	EXIM BANK OF INDIA	CAT G
257	FAMILY PLANNING	CAT G
258	FEDERATION OF INDIAN EXPORT ORGANISATIONS	CAT G
259	FERTILIZER CORPN I LIMITED	CAT G
260	FILMS DIVISION	CAT G
261	FOOD CORPORATION OF INDIA	CAT G
262	G I C HOUSING FINANCE LIMITED.	CAT G
263	G I D B	CAT G
264	G I I C LIMITED	CAT G
265	GAS TURBINE RESEARCH	CAT G
266	GENERAL INSURANCE	CAT G
267	GEOLOGICAL SURVEY OFINDIA	CAT G
268	GIC BAL FUND	CAT G
269	GIC HOUSING FINANCE LIMITED	CAT G
270	GIC MUTUAL FUND	CAT G
271	GLOBAL TELECOM	CAT G
272	GOI OWNED F.I'S&TIER II BANKS	CAT G
273	GOI OWNED TIER I BANKS	CAT G
274	GOI PUBLIC SECTOR	CAT G
275	GOVT GENERAL HOSPITAL	CAT G
276	GOVT KILPAUK MEDICAL	CAT G
277	GOVT OF INDIA	CAT G
278	GOVT ROYAPETTAH HOSPITAL	CAT G
279	GOVT STANLEY HOSPITAL	CAT G
280	GOVT TOOL ROOM &	CAT G
281	GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY	CAT G
282	GUJARAT AGRO-INDS. CORPN	CAT G
283	GUJARAT COMMN & ELEC LIMITED	CAT G
284	GUJARAT CO-OP MILK MKTG FEDERAT LIMITED	CAT G
285	GUJARAT CREDIT CORPORATION	CAT G
286	GUJARAT ELECTRICITY BOARD	CAT G
287	GUJARAT INSECTICIDES LIMITED.	CAT G
288	GUJARAT LAND DEV CORPN LIMITED	CAT G
289	GUJARAT MERC CR COOP SOC	CAT G
290	GUJARAT SECURITIES LIMITED	CAT G
291	GUJARAT STATE COOP MKTG FEDN	CAT G
292	GUJARAT STATE FINANCIAL	CAT G
293	GUJARAT STATE HANDICRAFTS	CAT G
294	GUJRAT STATE HANDLOOM LIMITED	CAT G
295	GURGAON TECH PARK LIMITED	CAT G
296	H H E C OF INDIA LIMITED	CAT G
297	HANDICRAFTS & HANDLOOM	CAT G
298	HANDICRAFTS CORP OF KERALA	CAT G
299	HARYANA AGRO INDS CORP LIMITED	CAT G
300	HARYANA POWER GENERATION CORPORATION LIMITED	CAT G
301	HARYANA STATE ELECT BOAR	CAT G
302	HARYANA STATE IND DEV	CAT G
303	HEAVY VEHICLES FACTORY	CAT G
304	HINDUSTAN INSECTICIDES LIMITED	CAT G
305	HINDUSTAN POWERPLUS	CAT G
306	HINDUSTAN PREFAB LIMITED	CAT G
307	HINDUSTAN TIN WORKS	CAT G
308	HOSPITAL SERVICES CONSULTANCY CORPORATION INDIA LT	CAT G
309	HOTEL CORPORATION OF INDIA	CAT G
310	HOWRAH MUNCIPAL CORP	CAT G
311	HUDCO	CAT G
312	HYDERABAD ALLWYN LIMITED	CAT G
313	HYDERABAD STOCK EXCHANGE	CAT G
314	I A F	CAT G
315	I A R I (INDIAN AGRICULTURAL RESEAR	CAT G
316	I C A R	CAT G
317	I C F	CAT G
318	I C M R	CAT G
319	I F C C I	CAT G
320	I F C I FINANCIAL SERVICES LIMITED.	CAT G
321	I R F C LIMITED	CAT G
322	I S R C	CAT G
323	IAS OFFICERS	CAT G
324	ICRISAT - IRS	CAT G
325	IFS OFFICERS	CAT G
326	IIT KANPUR	CAT G
327	IIT ROORKEE	CAT G
328	INDIA METEOROLOGICAL	CAT G
329	INDIA TRADE PROMOTION  (ITPO)	CAT G
330	INDIAN AGRICULTURAL STATISTICS RESE	CAT G
331	INDIAN ARMY	CAT G
332	INDIAN ASSOCIATION FOR CULTIVATION OF SCIENCES	CAT G
333	INDIAN BUREAU OF MINES	CAT G
334	INDIAN CHAMBER OF COMMERCE	CAT G
335	INDIAN COUNCIL FOR	CAT G
336	INDIAN COUNCIL OF HISTORICAL RESEAR	CAT G
337	INDIAN COUNCIL OF SOCIAL SCIENCE RESEARCH	CAT G
338	INDIAN INST OF BANKERS	CAT G
339	INDIAN INSTITUTE FO FINANCE	CAT G
340	INDIAN INSTITUTE OF CHEMICAL BIOLOGY	CAT G
341	INDIAN INSTITUTE OF MASS COMMUNICAT	CAT G
342	INDIAN INSTITUTE OF MATERIAL MANAGE	CAT G
343	INDIAN INSTITUTE OF PACKAGING	CAT G
344	INDIAN INSTITUTE OF PETROLEUM	CAT G
345	INDIAN INSTT OF TECHGY	CAT G
346	INDIAN NATIONAL SCIENTIFIC DOCUMENT	CAT G
347	INDIAN NAVY	CAT G
348	INDIAN RAILWAY (WESTERN)	CAT G
349	INDIAN RAILWAY CATERING&TOUR.CORP	CAT G
350	INDIAN RAILWAY FINANCE CORPORATION	CAT G
351	INDIAN RAILWAYS	CAT G
352	INDIAN REGISTER OF SHIPPING	CAT G
353	INDIAN RENEWABLE ENERGY DEVP. AGENC	CAT G
354	INDIAN ROAD CONSTRUCTION CORPORATIO	CAT G
355	INDIAN ROADS CONGRESS	CAT G
356	INDIAN ROADWAYS CORPN LIMITED	CAT G
357	INDIAN SCHOOL OF PETROLEUM	CAT G
358	INDIAN SOCIETY FOR TECHNICAL EDUCATION	CAT G
359	INDIAN SPACE REESEARCH ORGANISATION	CAT G
360	INDIAN STANDAR INSTITUTION	CAT G
361	INDIAN SUGAR MILLS ASSOCIATIONS	CAT G
362	INDIAN TELEPHONE INDUSTRIES(ITI)	CAT G
363	INDIAN TONERS & DEVELOPERS LIMITED	CAT G
364	INDIAN TRAINING INSTITUTE , CHANDIG	CAT G
365	INDO GERMAN TOOL ROOM	CAT G
366	INDO-RUSSIAN AVIATION LIMITED	CAT G
367	INDRAPRASTHA APOLLO HOSPITALS	CAT G
368	INDRAPRASTHA POWER GENERATION COMPANY LIMITED	CAT G
369	INDUSTRIAL INVESTMENT TRUST	CAT G
370	INDUSTRIAL RECONSTRUCTION BANK OF I	CAT G
371	INLAND WATERWAYS AUTHORITY OF INDIA	CAT G
372	INSTITUTE FOR INTEGRATED LEARNING I	CAT G
373	INSTITUTE OF APPLIED MANPOWER RESEA	CAT G
