S NO.	COMPANY NAME	COMPANY CATEGORY
311	KOPRAN LIMITED	CATGB
312	KORES (INDIA) LIMITED	CATGB
313	KOTAK MAHINDRA BANK LIMITED	CATGA
314	KOTAK MAHINDRA CAPITAL COMPANY LIMITED	CATGB
315	KOTAK SECURITIES LIMITED	CATGB
316	KOTHARI PRODUCTS LIMITED.	CATGB
317	K S B PUMPS LIMITED	CATGB
318	LTIMINDTREE LIMITED	SCATA
319	L AND T FINANCE LIMITED.	CATGA
320	LAKHANPAL PRIVATE LIMITED	CATGB
321	LAKME LEVER PRIVATE LIMITED	SCATA
322	LAKSHMI MACHINE WORKS LIMITED	CATGA
323	LANDBASE INDIA LIMITED	CATGB
324	LAPP INDIA PRIVATE LIMITED	CATGA
325	L G ELECTRONICS INDIA PRIVATE LIMITED	SCATA
326	LG INTERNATIONAL INDIA PRIVATE LIMITED	CATGA
327	LG SOFT INDIA PRIVATE LIMITED	CATGA
328	LIC HOUSING FINANCE LTD	SCATA
329	LUBRIZOL INDIA PRIVATE LIMITED	CATGC
330	LUCAS INDIAN SERVICE LIMITED	CATGC
331	LUCAS TVS LIMITED	CATGB
332	LUFTHANSA GERMAN AIRLINES	SCATA
333	M.N. DASTUR & COMPANY (P) LTD.	CATGB
334	MADHUSUDAN INDUSTRIES LIMITED	CATGB
335	THE RAMCO CEMENTS LIMITED	CATGA
336	MAERSK LINE INDIA PRIVATE LIMITED	SCATA
337	MAHARASHTRA SCOOTERS LTD	CATGB
338	Maharashtra Seamless Limited	CATGA
339	MAHAVIR SPINNING MILLS PRIV LIMITED	CATGB
340	MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED	SCATA
341	MAHINDRA AND MAHINDRA LIMITED	SCATA
342	MAHINDRA STEEL SERVICE CENTRE LIMITED	CATGB
343	MANGALORE REFINERY AND PETROCHEMICALS LIMITED	CATGB
344	MARICO LIMITED	CATGA
345	MURTI UDYOG LIMITED	CATGC
346	MASCOT SYSTEMS PRIVATE LIMITED	CATGB
347	MASTEK LIMITED	CATGB
348	MAX INDIA LIMITED	CATGB
349	MCPI PRIVATE LIMITED	CATGB
350	MCCANN-ERICKSON INDIA PRIVATE LIMITED	CATGB
351	MCDOWELL & COMPANY LIMITED	CATGB
352	MERIND LIMITED	CATGB
353	METAL ONE CORPORATION INDIA PRIVATE LIMITED	CATGC
354	MICROLAND LIMITED	CATGB
355	MICROSOFT CORPORATION (INDIA) PVT LTD	SCATA
356	MINDTREE LIMITED	CATGA
357	MIRC ELECTRONICS LIMITED	CATGA
358	MITSUBISHI CORPORATION INDIA PRIVATE LIMITED	SCATA
359	XEROX INDIA LIMITED	SCATA
360	MONNET INDUSTRIES LIMITED	CATGB
361	MORGAN STANLEY INDIA COMPANY PRIVATE LIMITED	SCATA
362	MOTHERSON SUMI SYSTEMS LIMITED	CATGA
363	THE MOTOR AND GENERAL FINANCE LIMITED	CATGB
364	MRF LIMITED	CATGA
365	MUNJAL SHOWA LIMITED	CATGB
366	NAGARAJAN CONSTRUCTION COMPANY PRIVATE LIMITED	CATGB
367	NAGARJUNA STEEL PRIVATE LIMITED	CATGB
368	NAHAR INDUSTRIAL ENTERPRISES LIMITED	CATGB
369	NAHAR SPINNING MILLS LTD	CATGB
370	National Aluminium Company Limited	SCATA
371	NATIONAL ENGG.INDUSTRIES LTD	CATGB
372	NATIONAL FERTILIZERS LIMITED	CATGB
373	NATIONAL GEOPHYSICAL RESEARCH INSTI	CATGB
374	NATIONAL INSTITUTE OF OCEAN TECHNOL	CATGB
375	NATIONAL SECURITIES DEPOSITORY LIMITED	CATGB
376	NATIONAL STOCK EXCHANGE OF INDIA LTD.	CATGB
377	NEC CORPORATION INDIA PRIVATE  LIMITED	SCATA
378	NELCO LIMITED	CATGB
379	NLC INDIA Limited	CATGA
380	NICHOLAS PIRAMAL PHARMA PRIVATE LIMITED	CATGB
381	NIIT LIMITED	CATGA
382	NIKE INDIA PRIVATE LIMITED	SCATA
383	NIRMA LIMITED	CATGA
384	NOCIL LIMITED	CATGB
385	NOKIA INDIA PRIVATE LIMITED	SCATA
386	NOVARTIS INDIA LIMITED	CATGC
387	MICRO FOCUS SOFTWARE INDIA PRIVATE LIMITED	CATGA
388	NOVOPAN INDUSTRIES LIMITED	CATGB
389	NRB BEARINGS LIMITED (FULL FLEDGED PUBLIC CO)	CATGB
390	OGILVY AND MATHER PRIVATE LIMITED	CATGA
391	OIL AND NATURAL GAS CORPORATION LIMITED	SCATA
392	ORIENTAL HOTELS LIMITED	CATGB
393	OSWAL AGRO MILLS LIMITED	CATGB
394	OSWAL CHEM (INDIA) PRIVATE LIMITED	CATGB
395	OSWAL WOOLLEN MILLS LTD	CATGB
396	OTIS ELEVATOR CO (INDIA)LTD	CATGB
397	OWENS-CORNING (INDIA) PRIVATE LIMITED	SCATA
398	PAHARPUR COOLING TOWERS LTD	CATGB
399	PALANI ANDAVAR COTTON AND SYNTHETIC SPINNERS LIMITED	CATGB
