S NO.	COMPANY NAME	COMPANY CATEGORY
328	BOMBAY RAYON FASHIONS LIMITED	CAT A
329	BONAI INDUSTRIAL CO LIMITED	CAT A
330	BONANZA PORTFOLIO LIMITED	CAT A
331	BOSCH AUTOMOTIVE ELECTRONICS INDIA PRIVATE LIMITED	CAT A
332	BOSCH CHASSIS SYSTEMS INDIA LIMITED	CAT A
333	BOSCH LIMITED	CAT A
334	BOSTON SCIENTIFIC INDIA PRIVATE LIMITED	CAT A
335	BOTHRA SHIPPING SERVICES PRIVATE LIMITED	CAT A
336	BOUYGUES CONSTRUCTION INDIA BUILDING PROJECTS LLP	CAT A
337	BP INDIA SERVICES PRIVATE LIMITED	CAT A
338	BPL MEDICAL TECHNOLOGIES PRIVATE LIMITED	CAT A
339	BRAHMOS AEROSPACE PRIVATE LIMITED	CAT A
340	BRAKES INDIA PRIVATE LIMITED	CAT A
341	BRIDGE & ROOF CO (INDIA) LIMITED	CAT A
342	BRIDGESTONE INDIA PRIVATE LIMITED	CAT A
343	BRIGADE ENTERPRISES LIMITED	CAT A
344	BRIGHTPOINT INDIA PRIVATE LIMITED	CAT A
345	BRINTONS CARPETS ASIA PRIVATE LIMITED	CAT A
346	BRITANNIA INDUSTRIES LIMITED	CAT A
347	BRITISH AMERICAN TOBACCO CO LIMITED	CAT A
348	BRITISH GAS PLC	CAT A
349	BSES RAJDHANI POWER LIMITED	CAT A
350	BSR AND ASSOCIATES LLP	CAT A
351	BT ESERV INDIA PRIVATE LIMITED	CAT A
352	BT GLOBAL BUSINESS SERVICES PRIVATE LIMITED	CAT A
353	BT TELECOM INDIA PRIVATE LIMITED	CAT A
354	BUHLER (INDIA) PRIVATE LIMITED	CAT A
355	BUNGE INDIA PRIVATE LIMITED	CAT A
356	BUSINESS BROADCAST NEWS PRIVATE LIMITED	CAT A
357	BUTTERFLY EFFECT VENTURES PRIVATE LIMITED	CAT A
358	BVG INDIA LIMITED	CAT A
359	C AND S ELECTRIC LIMITED	CAT A
360	C D INTEGRATED SERVICES LIMITED	CAT A
361	C R I PUMPS PRIVATE LIMITED	CAT A
362	C.P.AQUACULTURE (INDIA) PRIVATE LIMITED	CAT A
363	CA INDIA TECHNOLOGIES PRIVATE LIMITED	CAT A
364	CABB CHEMICALS (INDIA) PRIVATE LIMITED	CAT A
365	CADBURY SCHWEPPES EXPORT LTD. (NOW CADBURY OVERSEAS LTD.)	CAT A
366	CADENCE DESIGN SYSTEMS (INDIA) PRIVATE LIMITED	CAT A
367	CADILA PHARMACEUTICALS LIMITED	CAT A
368	CAIRN INDIA LIMITED	CAT A
369	CALDERYS INDIA REFRACTORIES LIMITED	CAT A
370	CAMERON MANUFACTURING (INDIA) PRIVATE LIMITED	CAT A
371	CAMPHOR AND ALLIED PRODUCTS LIMITED	CAT A
372	CAMPUS ACTIVEWEAR LIMITED	CAT A
373	CANARA BANK	CAT A
374	CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED	CAT A
375	CANON INDIA PRIVATE LIMITED	CAT A
376	CAPARO ENGINEERING INDIA LIMITED	CAT A
377	CAPARO MARUTI LIMITED	CAT A
378	CAPCO TECHNOLOGIES PRIVATE LIMITED	CAT A
379	CAPGEMINI INDIA PRIVATE LIMITED	CAT A
380	CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED	CAT A
381	CAPITA INDIA PRIVATE LIMITED	CAT A
382	CAPITAL FIRST LIMITED	CAT A
383	CAPITAL ONE SERVICES (INDIA) PRIVATE LIMITED	CAT A
384	CAPRI GLOBAL CAPITAL LIMITED	CAT A
385	CARBORUNDUM UNIVERSAL LIMITED	CAT A
386	CARGILL GLOBAL TRADING INDIA PRIVATE LIMITED	CAT A
387	CARGILL INDIA PRIVATE LIMITED	CAT A
388	CARGO MOTORS (DELHI) PRIVATE LIMITED	CAT A
389	CARGO MOTORS PRIVATE LIMITED	CAT A
390	CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED	CAT A
391	CARREFOUR TRADING ASIA LIMITED	CAT A
392	CARRIER AIRCONDITIONING & REFRIGERATION LIMITED	CAT A
393	CARZONRENT (INDIA) PRIVATE LIMITED	CAT A
394	CASE NEW HOLLAND CONSTRUCTION EQUIPMENT (INDIA) PRIVATE LIMITED	CAT A
395	CASTROL INDIA LIMITED	CAT A
396	CATERPILLAR INDIA PRIVATE LIMITED	CAT A
397	CCL PRODUCTS (INDIA) LIMITED	CAT A
398	CEAT LIMITED	CAT A
399	C-EDGE TECHNOLOGIES LIMITED	CAT A
400	CENTRICA INDIA OFFSHORE PRIVATE LIMITED	CAT A
401	CENTURY ENKA LIMITED	CAT A
402	CENTURY METAL RECYCLING PRIVATE LIMITED.	CAT A
403	CENTURY PLYBOARDS (INDIA) LTD.	CAT A
404	CENTURY TEXTILE AND INDUSTRIES LIMITED	CAT A
405	CENTURYLINK TECHNOLOGIES INDIA PRIVATE LIMITED	CAT A
406	CERA SANITARYWARE LIMITED	CAT A
407	CESC LIMITED	CAT A
408	CFL PHARMACEUTICALS LIMITED	CAT A
409	CG MARKETING PRIVATE LIMITED	CAT A
410	CG POWER AND INDUSTRIAL SOLUTIONS LIMITED (CROMPTON GREAVES LIMITED)	CAT A
411	CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED	CAT A
412	CHAITHANYA PROJECTS PRIVATE LIMITED	CAT A
413	CHAMBAL FERTILISERS AND CHEMICALS LIMITED	CAT A
414	CHEMETALL INDIA PRIVATE LIMITED	CAT A
415	CHEMINOVA INDIA LIMITED	CAT A
416	CHENNAI INTERNATIONAL TERMINALS PRIVATE LIMITED	CAT A
417	CHENNAI PETROLEUM CORPORATION LIMITED	CAT A
418	CHENNAI RADHA ENGINEERING WORKS PRIVATE LIMITED	CAT A
419	CHETTINAD CEMENT CORPORATION LIMITED	CAT A
420	CHETTINAD LOGISTICS PRIVATE LIMITED	CAT A
421	CHEVROLET SALES INDIA PRIVATE LIMITED	CAT A
422	CHEVRON LUBRICANTS INDIA PRIVATE LIMITED	CAT A
423	CHINA MINMETALS CORPORATION	CAT A
424	CHINA STATE CONSTRUCTION ENGEERING HONG KONG LIMITED	CAT A
425	CHIRON BEHRING VACCINES PRIVATE LIMITED	CAT A
426	CHLORIDE METALS LIMITED	CAT A
427	CHLORIDE POWER SYSTEMS & SOLUTIONS LIMITED	CAT A
428	CHOICE TRADING CORPORATION PRIVATE LIMITED	CAT A
429	CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED	CAT A
430	CHOLAYIL PRIVATE LIMITED	CAT A
431	CHOWGULE AND COMPANY PRIVATE LIMITED.	CAT A
432	CHOWGULE INDUSTRIES PRIVATE LIMITED	CAT A
433	CHRYSCAPITAL INVESTMENT ADVISORS (INDIA) PRIVATE LIMITED.	CAT A
434	CIENA INDIA PRIVATE LIMITED	CAT A
435	CIGNA HEALTH SOLUTIONS INDIA PRIVATE LIMITED	CAT A
436	CIPLA HEALTH LIMITED	CAT A
437	CIPLA LIMITED	CAT A
438	CISCO COMMERCE INDIA PRIVATE LIMITED	CAT A
439	CISCO DEVELOPMENT INDIA PRIVATE LIMITED	CAT A
440	CISCO SYSTEMS (INDIA) PRIVATE LIMITED	CAT A
441	CITI BANK N.A.	CAT A
442	CITICORP SERVICES INDIA PRIVATE LIMITED	CAT A
443	CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED	CAT A
444	CITY HOSPITAL PRIVATE LIMITED	CAT A
445	CITY UNION BANK LIMITED	CAT A
446	CLARIANT CHEMICALS (INDIA) LIMITED	CAT A
447	CLARIS LIFESCIENCES LIMITED	CAT A
448	CLASSIC STRIPES PRIVATE LIMITED	CAT A
449	CLEAR2PAY INDIA PRIVATE LIMITED	CAT A
450	CLEARCORP DEALING SYSTEMS (INDIA) LIMITED	CAT A
