S NO.	COMPANY NAME	COMPANY CATEGORY
195	INFRASTRUCTURE DEVELOPMENT FINANCE COMPANY LIMITED	ELITE
196	ING VYSYA BANK LIMITED	ELITE
197	INTERNATIONAL LABOUR ORGANIZATION (AGENCY OF UNITED NATIONS)	ELITE
198	IPCA LABORATORIES LIMITED	ELITE
199	ITC LIMITED	ELITE
200	J K CEMENT LIMITED	ELITE
201	JAGRAN PRAKASHAN LIMITED	ELITE
202	JAMMU & KASHMIR BANK LIMITED	ELITE
203	JOHN DEERE INDIA PRIVATE LIMITED	ELITE
204	JOHN WELCH TECHNOLOGY CENTRE	ELITE
205	JOHNSON & JOHNSON PRIVATE LIMITED	ELITE
206	JSW ENERGY LIMITED	ELITE
207	JSW STEEL LIMITED	ELITE
208	JUBILANT BIOSYS LIMITED	ELITE
209	JUBILANT LIFE SCIENCES LIMITED	ELITE
210	KALPATARU POWER TRANSMISSION LIMITED	ELITE
211	KALYANI FORGE LIMITED	ELITE
212	KANSAI NEROLAC PAINTS LIMITED	ELITE
213	KEC INTERNATIONAL LIMITED	ELITE
214	KIRLOSKAR BROTHERS LIMITED	ELITE
215	KIRLOSKAR OIL ENGINES LIMITED	ELITE
216	KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LIMITED	ELITE
217	KOTAK MAHINDRA BANK LIMITED	ELITE
218	KRISHAK BHARATI CO-OPERATIVE LIMITED	ELITE
219	L AND T TECHNOLOGY SERVICES LTD	ELITE
220	LAKSHMI MACHINE WORKS LIMITED	ELITE
221	LARSEN & TOUBRO INFOTECH LIMITED	ELITE
222	LARSEN & TOUBRO LIMITED(INCL ECC AND EMSYS DIVISION)	ELITE
223	LG ELECTRONICS INDIA PRIVATE LIMITED	ELITE
224	LIC HOUSING FINANCE LIMITED	ELITE
225	LIFE INSURANCE CORPORATION OF INDIA(PLICA)	ELITE
226	LUCAS-TVS LIMITED	ELITE
227	LUPIN LIMITED	ELITE
228	MAHANADI COALFIELDS LIMITED	ELITE
229	MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED	ELITE
230	MAHINDRA & MAHINDRA LIMITED	ELITE
231	MAJOR ASSOCIATES	ELITE
232	MARICO LIMITED	ELITE
233	MARUTI SUZUKI INDIA LIMITED	ELITE
234	MASTERCARD INDIA SERVICES PRIVATE LIMITED	ELITE
235	MASTERCARD TECHNOLOGY PRIVATE LIMITED	ELITE
236	MICROSOFT CORPORATION (INDIA) PRIVATE LIMITED	ELITE
237	MICROSOFT INDIA (R&D) PRIVATE LIMITED	ELITE
238	MINDTREE LIMITED	ELITE
239	MJUNCTION SERVICES	ELITE
240	MMTC LIMITED	ELITE
241	MOIL LIMITED	ELITE
242	MOTHERSON SUMI SYSTEMS LIMITED	ELITE
243	MPHASIS LIMITED	ELITE
244	MRF LIMITED	ELITE
245	MUTHOOT FINANCE LIMITED	ELITE
246	MYLAN LABORATORIES LIMITED	ELITE
247	NATIONAL ALUMINIUM COMPANY LIMITED	ELITE
248	NATIONAL BUILDINGS CONSTRUCTION CORPORTION LIMITED	ELITE
249	NATIONAL FERTILIZERS LIMITED	ELITE
250	NATIONAL HOUSING DEVELOPMENT FINANCE CORPOARTION LIMITED	ELITE
251	NATIONAL STOCK EXCHANGE OF INDIA LIMITED	ELITE
252	NATIONAL THERMAL POWER CORP LIMITED	ELITE
253	NAVA BHARAT VENTURES LIMITED	ELITE
254	NESTLE INDIA LIMITED	ELITE
255	NHPC LIMITED	ELITE
256	NIIT TECHNOLOGIES LIMITED	ELITE
257	NLC INDIA LIMITED	ELITE
258	NMDC LIMITED	ELITE
259	NORTHERN COALFEILDS LIMITED	ELITE
260	NTPC LIMITED	ELITE
261	NUCLEAR POWER CORPN OF INDIA LIMITED	ELITE
262	NUMALIGARH REFINERY LIMITED (NRL)	ELITE
263	OIL & NATURAL GAS CORPN LIMITED	ELITE
264	OIL INDIA LIMITED	ELITE
265	ORACLE CORP	ELITE
266	ORACLE FINANCIAL SERVICES SOFTWARE LIMITED (FORMERLY I-FLEX SOLUTIONS LIMITED)	ELITE
267	ORACLE INDIA PRIVATE LIMITED	ELITE
268	ORIENT PAPER & INDS LIMITED	ELITE
269	ORIENTAL BANK OF COMMERCE	ELITE
270	PARADEEP PHOSPHATES LIMITED	ELITE
271	PETNET RADIOPHARMACEUTICAL SOLUTIONS PRIVATE. LIMITED.	ELITE
272	PETRONET LNG LIMITED	ELITE
273	PFIZER LIMITED	ELITE
274	PIDILITE INDUSTRIES LIMITED	ELITE
275	POLARIS CONSULTING AND SERVICES LIMITED	ELITE
276	POWER FINANCE CORPN LIMITED	ELITE
277	POWERGRID CORPORATION OF INDIA LIMITED	ELITE
278	PREACTOR SOFTWARE INDIA PRIVATE LIMITED, BANGALORE	ELITE
279	PRISM JOHNSON LIMITED	ELITE
280	PRIZE PETROLEUM COMPANY LIMITED	ELITE
281	Procter & Gamble	ELITE
