S NO.	COMPANY NAME	COMPANY CATEGORY
256	OPUS SOFTWARE SOLUTIONS PRIVATE LIMITED	CAT A
257	RELIANCE HOSPITAL MANAGEMENT SERVICES PRIVATE LIMITED	CAT A
258	FIDELITAS RCM PRIVATE LIMITED	CAT A
259	MAHANSARIA TYRES PRIVATE LIMITED	CAT A
260	BUSINESS INTELLI SOLUTIONS INDIA PRIVATE LIMITED	CAT A
261	CDOT ALCATELLUCENT RESEARCH CENTRE PRIVATE LIMITED	CAT A
262	UPM KYMMENE INDIA PRIVATE LIMITED	CAT A
263	MOTOROLA MOBILITY CHENNAI PRIVATE LIMITED	CAT A
264	PT BANK MAYBANK INDONESIA TBK	CAT A
265	TRISTHA GLOBAL PRIVATE LIMITED	CAT A
266	NESTLE RD CENTRE INDIA PRIVATE LIMITED	CAT A
267	CRITICALRIVER TECHNOLOGIES PRIVATE LIMITED	CAT A
268	GRADE STACK LEARNING PRIVATE LIMITED	CAT A
269	HAN DIGITAL SOLUTION PRIVATE LIMITED	CAT A
270	M2P SOLUTIONS PRIVATE LIMITED	CAT A
271	NOBROKER TECHNOLOGIES SOLUTIONS PRIVATE LIMITED	CAT A
272	PACIFIC MAINTENANCE SERVICES PRIVATE LIMITED	CAT A
273	SCITECH SPECIALITIES PRIVATE LIMITED	CAT A
274	AAPT OUTSOURCING SOLUTIONS PRIVATE LIMITED	CAT A
275	ASSOCIATED CORPORATE CONSULTANTS INDIA PRIVATE LIMITED	CAT A
276	CARNIVAL SUPPORT SERVICES INDIA PRIVATE LIMITED	CAT A
277	CLAIRVOYANT INDIA PRIVATE LIMITED	CAT A
278	SEAL INFOTECH PRIVATE LIMITED	CAT A
279	TT BHARAT INTEGRATED LOGISTICS PRIVATE LIMITED	CAT A
280	VISA INTERNATIONAL LIMITED	CAT A
281	ADEPT CHIP SERVICES PRIVATE LIMITED	CAT A
282	ANIMAKER INDIA PRIVATE LIMITED	CAT A
283	APNATIME TECH PRIVATE LIMITED	CAT A
284	ASPIRE NXT PRIVATE LIMITED	CAT A
285	BIOKINDLE LIFESCIENCES PRIVATE LIMITED	CAT A
286	BRAVOVENTURE INDIA PRIVATE LIMITED	CAT A
287	BYZAN SYSTEMS PRIVATE LIMITED	CAT A
288	COLEDA PRIVATE LIMITED	CAT A
289	DELITE SYSTEMS ENGINEERING INDIA PRIVATE LIMITED	CAT A
290	ECOM EXPRESS LIMITED	CAT A
291	EZOPS TECHNOLOGIES INDIA PRIVATE LIMITED	CAT A
292	HOLTEC CONSULTING PRIVATE LIMITED	CAT A
293	INCREDIBLE TECHNOLOGIES PRIVATE LIMITED	CAT A
294	INTELLIGAIA TECHNOLOGIES PRIVATE LIMITED	CAT A
295	MAXDIGI INFOTECH PRIVATE LIMITED	CAT A
296	METACUBE SOLUTIONS PRIVATE LIMITED	CAT A
297	MITEL CLOUD COMMUNICATIONS PRIVATE LIMITED	CAT A
298	NETIZEN ENGINEERING PRIVATE LIMITED	CAT A
299	PUNCHH TECH INDIA PRIVATE LIMITED	CAT A
300	SARACA SOLUTIONS PRIVATE LIMITED	CAT A
301	SIX DEE NETAD SOLUTIONS PRIVATE LIMITED	CAT A
302	SUNRISE MENTORS PRIVATE LIMITED	CAT A
303	VISUAL IQ TECHNO SERVICES INDIA PRIVATE LIMITED	CAT A
304	VIVISH TECHNOLOGIES PRIVATE LIMITED	CAT A
305	PPG INDUSTRIES INDIA PRIVATE LIMITED	CAT A
306	RESERVE BANK OF INDIA	CAT A
307	GENERAL ELECTRIC INTERNATIONAL INC	CAT A
308	DAMODAR VALLEY CORPORATION	CAT A
309	HI TECH INKS PRIVATE LIMITED	CAT A
310	SAMYAK METALS PRIVATE LIMITED	CAT A
311	TWILLS CLOTHING PRIVATE LIMITED	CAT A
312	WINGIFY SOFTWARE PRIVATE LIMITED	CAT A
313	COCHIN MINERALS AND RUTILE LIMITED	CAT A
314	M J BIOPHARM PRIVATE LIMITED	CAT A
315	JSR INFRA DEVELOPERS PRIVATE LIMITED	CAT A
316	CIAN AGRO INDUSTRIES AND INFRASTRUCTURE LIMITED	CAT A
317	FRONTIER ALLOY STEELS LIMITED	CAT A
318	GOPINATH CHEMTECH LIMITED	CAT A
319	KOCHAR INFOTECH LIMITED	CAT A
320	MEDIATEK INDIA TECHNOLOGY PRIVATE LIMITED	CAT A
321	OMRON AUTOMATION PRIVATE LIMITED	CAT A
322	PATELS AIRTEMP INDIA LIMITED	CAT A
323	TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED	CAT A
324	ULINK AGRITECH PRIVATE LIMITED	CAT A
325	ZIMMER INDIA PRIVATE LIMITED	CAT A
326	ZSCALER SOFTECH INDIA PRIVATE LIMITED	CAT A
327	ALP CONSULTING LIMITED	CAT A
328	BANCTEC TPS INDIA PRIVATE LIMITED	CAT A
329	DELLNER INDIA PRIVATE LIMITED	CAT A
330	INTELENET BUSINESS SERVICES LIMITED	CAT A
331	BENQ INDIA PRIVATE LIMITED	CAT A
332	MERABO LABS PRIVATE LIMITED	CAT A
333	NATH INDUSTRIES LIMITED	CAT A
334	THE AKSHAYA PATRA FOUNDATION	CAT A
335	MOUNTAIN TRAIL FOODS PRIVATE LIMITED	CAT A
336	NHK AUTOMOTIVE COMPONENTS INDIA PRIVATE LIMITED	CAT A
337	TRANSFAST INDIA PRIVATE LIMITED	CAT A
338	ACCION TECHNOLOGIES PRIVATE LIMITED	CAT A
339	DENTSU AEGIS NETWORK INDIA PRIVATE LIMITED	CAT A
340	GROUPE SEB INDIA PRIVATE LIMITED	CAT A
341	NTS TECHNOLOGY SERVICES PRIVATE LIMITED	CAT A
342	EMIDS TECHNOLOGIES PRIVATE LIMITED	CAT A
343	AIR WATER INDIA PRIVATE LIMITED	CAT A
344	US SERVICES GROUP PRIVATE LIMITED	CAT A
345	WURTH INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED	CAT A
346	AMIT METALIKS LIMITED	CAT A
347	INFOCEPTS TECHNOLOGIES PRIVATE LIMITED	CAT A
348	K D SUPPLY CHAIN SOLUTIONS PRIVATE LIMITED	CAT A
349	RICHEMONT INDIA PRIVATE LIMITED	CAT A
350	SHYAM CHEMICALS PRIVATE LIMITED	CAT A
