S NO.	COMPANY NAME	COMPANY CATEGORY
244	RADFORD GLOBAL LTD	 CAT D 
245	INTERACTIVE FINANCIAL and TRADING SERVICES PRIVATE LIMITED	 CAT D 
246	SHREE MOTORS PVT LTD	 CAT C 
247	SECURESEARCH SCREENING SERVICES PRIVATE LIMITED	 CAT D 
248	Radiant Healthcare Pvt Ltd	 CAT D 
249	MFS FORMWORK SYSTEMS PVT LTD	 CAT D 
250	AUTOLINE INDUSTRIES LTD	 CAT C 
251	GIRIKAND TRAVELS PRIVATE LIMITED	 CAT D 
252	CRESCENT LIFE SCIENCES PVT LTD	 CAT C 
253	VAISHNODEVI INTERNATIONAL PRIVATE LIMITED	 CAT D 
254	SENTISS PHARMA PRIVATE LIMITED	 CAT B 
255	HASSIA PACKAGING PRIVATE LIMITED	 CAT B 
256	ELICO HEALTHCARE SERVICES PRIVATE LIMITED	 CAT D 
257	saffron art pvt limited	 CAT D 
258	DISNEY ENTERTAINMENT INDIA LIMITED	 CAT D 
259	PATKAR EXTRUSIONS PRIVATE LIMITED	 CAT D 
260	ADHUNIK YANTRA UDYOG PRIVATE LIMITED	 CAT D 
261	BON LON STEELS PRIVATE LIMITED	 CAT C 
262	OM DRISHIAN INTERNATIONAL LIMITED	 CAT C 
263	HERO MINDMINE INSTITUTE PRIVATE LIMITED	 CAT B 
264	SATYA MANAGEMENT SERVICES PVT LTD	 CAT D 
265	RARE TOWNSHIPS PRIVATE LIMITED	 CAT D 
266	BOOMERANG SOFT PRIVATE LIMITED	 CAT D 
267	MANTRAM TECHNOFAB PVT LTD	 CAT C 
268	IDEAVATE SOLUTIONS PRIVATE LIMITED	 CAT D 
269	MITHRA KYOKUTO SPECIAL PURPOSE VEHICLE COMPANY PRIVATE LIMITED	 CAT D 
270	EVIA INFORMATION SYSTEMS PRIVATE LIMITED	 CAT D 
271	JEWELMARK INDIA PRIVATE LIMITED	 CAT C 
272	TRIMBLE SOLUTIONS INDIA PVT LTD	 CAT D 
273	royal sundaram general insurance company tld	 CAT A 
274	CHIRAG ICE FACTORY PVT LTD	 CAT D 
275	NEPTUNE CONTAINER LINE and LOGISTICS PRIVATE LIMITED	 CAT D 
276	OMKAR NATURAL RESOURCES PVT LTD	 CAT D 
277	KSH LOGISTICS PRIVATE LIMITED	 CAT D 
278	DIPCO ESTATES PRIVATE LIMITED	 CAT D 
279	RELIGARE COMTRADE LIMITED	 CAT C 
280	RUBICON ENGINEERS PRIVATE LIMITED	 CAT D 
281	VENUS DIES AND MOULDS PRIVATE LTD	 CAT D 
282	ORANGE BUSINESS SERVICES INDIA NETWORK PVT LTD	 CAT C 
283	DHARMANANDAN DIAMONDS PRIVATE LIMITED	 CAT A 
284	TORAY KUSUMGAR ADVANCED TEXTILE PVT LTD	 CAT B 
285	Trendsetters services pvt ltd	 CAT D 
286	A M INFOWEB PRIVATE LIMITED	 CAT D 
287	Shreeji realties private limited	 CAT D 
288	AUTORIDERS INTERNATIONAL LIMITED	 CAT C 
289	Polyhose india Private ltd	 CAT B 
290	APNA TELE LINK PVT LTD	 CAT D 
291	HERO ECOTECH LTD	 CAT B 
292	RAVESHIA PIGMENTS LIMITED	 CAT D 
293	RCJ INVESTMENT TRUST PRIVATE LIMITED	 CAT D 
294	TECHLEAD INFRA PROJECTS PRIVATE LIMITED	 CAT D 
295	SARU AIKOH CHEMICALS LIMITED	 CAT D 
296	REGENCY NIRMAN LIMITED	 CAT B 
297	EPEOPLE BESPOKE CONSULTING PRIVATE LIMITED	 CAT D 
298	PETROMAR ENGINEERED SOLUTIONS PRIVATE LIMITED	 CAT D 
299	WORLDWIDE IMMIGRATION CONSULTANCY SERVICES PRIVATE LIMITED	 CAT D 
300	MAHARAJA SHREE UMAID MILLS LIMITED	 CAT B 
301	WIPRO ENTERPRISES PRIVATE LIMITED	 CAT A 
302	COOLLINE AGENCY PRIVATE LIMITED	 CAT D 
303	ROOTS COOLING SYSTEMS PVT LTD	 CAT C 
304	IMPERIAL SERVICED OFFICES and PROPERTY MANAGEMENT PRIVATE LIMITED	 CAT D 
305	MACLEAN POWER INDIA PRIVATE LIMITED	 CAT D 
306	SPX FLOW TECHNOLOGY INDIA PVT LTD	 CAT C 
307	Speedcrafts ltd	 CAT B 
308	Newtronic Lifecare Equipment Pvt Ltd	 CAT D 
309	THE UDAIPUR URBAN CO OPERATIVE BANK LIMITED	 CAT C 
310	ENYOTA LEARNING PRIVATE LIMITED	 CAT D 
311	THE LAKE PALACE HOTELS AND MOTELS PRIVATE LIMITED	 CAT C 
312	NUANCE GROUP FASHION AND LUXURY DUTY FREE PVTLTD	 CAT C 
313	IMMO INFORMATION TECHNOLOGY PRIVATE LIMITED	 CAT D 
314	RESONANCE EDUVENTURES LIMITED	 CAT C 
315	PARRAGON PUBLISHING INDIA PVT LTD	 CAT D 
316	RAMAN AND WEIL PRIVATE LIMITED	 CAT C 
317	SCHUECO INDIA PRIVATE LIMITED	 CAT C 
318	Dreamhome Infrastructure Private Limited	 CAT D 
319	HARRIS BRUSHES INDIA PRIVATE LIMITED	 CAT D 
320	LILLY MARITIME PRIVATE LIMITED	 CAT D 
321	COPART INDIA PVT LIMITED	 CAT D 
322	MILLENNIUM SOFT TECH INDIA PVT LTD	 CAT D 
323	ADITYA BIRLA CAPITAL ADVISORS PRIVATE LIMITED	 CAT B 
324	OMKAR SOFTWARE PVT LTD	 CAT D 
325	J AND K HERITAGE HOTELS PVT LTD	 CAT D 
326	FOCUS 4D CAREER EDUCATION PRIVATE LIMITED	 CAT C 
327	SULZER INDIA PRIVATE LIMITED	 CAT B 
328	NAUTILUS MOBILE APP PRIVATE LIMITED	 CAT D 
329	JAGAT TRADING ENTERPRISES LIMITED	 CAT D 
330	webonise lab pvt ltd	 CAT D 
331	DENSO INDIA PRIVATE LIMITED	 CAT A 
332	XEROX INDIA LIMITED	 CAT B 
333	SHREE BALAJEE LANDMARK HOTELS PVT LTD	 CAT C 
334	EON ELECTRIC LIMITED	 CAT C 
335	GHAI CONSTRUCTION LIMITED	 CAT C 
336	NIDO MACHINERIES PRIVATE LIMITED	 CAT D 
337	TRAVEL FOOD SERVICES PRIVATE LIMITED	 CAT C 
338	MANALI PETROCHEMICALS LIMITED	 CAT B 
339	HEADERLABS INFOTECH PVT LTD	 CAT C 
340	HYDRO PNEUMATIC ENGINEERS HYD PRIVATE LIMITED	 CAT D 
341	NEXII IT LABS PVT LTD	 CAT D 
342	LOGITECH TRADING PRIVATE LIMITED	 CAT D 
343	RBS SERVICES INDIA PRIVATE LIMITED	 CAT A 
344	FLIPICK PRIVATE LIMITED	 CAT D 
345	ABSOLUTDATA RESEARCH and ANALYTICS SOLUTIONS PRIVATE LIMITED	 CAT C 
346	MUBEA AUTOMOTIVE COMPONENTS INDIA PRIVATE LIMITED	 CAT C 
347	CLIENT NETWORK SERVICES INDIA PRIVATE LIMITED	 CAT D 
348	KENT INTELLIGENT TRANSPORTATION SYSTEMS INDIA PRIVATE LIMITED	 CAT D 
349	HEALTH CARE PROCESS SOLUTIONS INDIA PVT LTD	 CAT D 
350	HERCULES INFRATECH PVT LTD	 CAT D 
351	SHREYASH INSURANCE BROKERS PVT LTD	 CAT D 
352	RAJMITA CORPORATE SERVICES PVT LTD	 CAT D 
353	JOB COOKIES INDIA PRIVATE LIMITED	 CAT D 
354	E HOMES INFRASTRUCTVRE PVT LTD	 CAT D 
355	ACCSOURCE KNOWLEDGE PROCESS OUTSOURCING PVT LTD	 CAT C 
356	s3 infotech pvt ltd	 CAT D 
357	IDEAMETRICS PRIVATE LIMITED	 CAT D 
358	ZAFIN SOFTWARE CENTRE OF EXCELLENCE PRIVATE LIMITED	 CAT C 
359	GVP FORWARDER PVT LTD	 CAT D 
360	ARCHITECTURAL ENERGY SOLUTIONS PRIVATE LIMITED	 CAT D 
361	VAULTIZE TECHNOLOGIES PRIVATE LIMITED	 CAT D 
362	MAYUR TELECOM PRIVATE LIMITED	 CAT D 
363	Edara Simple Media Solutions Pvt Ltd	 CAT D 
364	NAVAYUGA DEVANAHALLI TOLLWAY PRIVATE LIMITED	 CAT B 
365	DAMANI SHIPPING PVT LTD	 CAT D 
366	S B INSURANCE BROKERS PRIVATE LIMITED	 CAT D 
367	PHOENIX LIVING SPACES PRIVATE LIMITED	 CAT C 
368	HARITASA CHECKMATE ELECTRONICS PRIVATE LIMITED	 CAT C 
369	BIMARIAN INFORMATION TECHNOLOGIES PRIVATE LIMITED	 CAT D 
370	INFOVITY INDIA PVT LTD	 CAT D 
371	AAKAAR MEDICAL TECHNOLOGIES PRIVATE LIMITED	 CAT C 
372	Mywish Marketplaces Pvt Ltd	 CAT C 
373	SYNOPSYS INDIA PRIVATE LIMITED	 CAT B 
374	TELEVITAL INDIA PRIVATE LIMITED	 CAT D 
375	EVRY INDIA PRIVATE LIMITED	 CAT C 
376	SELECT CABS PEOPLE LOGISTICS PRIVATE LIMITED	 CAT C 
377	athena legal	 CAT C 
378	SUN FACILICORP PRIVATE LIMITED	 CAT D 
379	MICROSEMI COMMUNICATIONS  INDIA  PVT LTD	 CAT D 
380	Prasad film laboratories pvt ltd	 CAT D 
381	AKSHARA MOTORS PVT LTD	 CAT C 
382	MALPANI AND ASSOCIATES PRIVATE LIMITED	 CAT D 
383	EICHER GOODEARTH PRIVATE LIMITED	 CAT C 
384	OJAS ASSET RECONSTRUCTION COMPANY LIMITED	 CAT D 
385	VALLEY CREST SOFTWARE PRIVATE LIMITED	 CAT D 
386	IMS HEALTH ANALYTICS SERVICES PVT LTD	 CAT C 
387	BAFNA MOTORCYCLES PRIVATE LIMITED	 CAT D 
388	GREENKO WIND PROJECTS PRIVATE LTD	 CAT D 
389	AARTI SUITINGS PVT LTD	 CAT D 
390	GANESH YARNTEX EXPORT PRIVATE LIMITED	 CAT D 
391	TITAN LABORATORIES PVT LTD	 CAT B 
392	SVR CREATIONS PRIVATE LIMITED	 CAT D 
393	INTELLICUS TECHNOLOGIES PRIVATE LIMITED	 CAT D 
394	MARINE ELECTRICALS INDIA PRIVATE LIMITED	 CAT C 
395	CHOICE CLOTHING COMPANY PRIVATE LIMITED	 CAT C 
396	SOURCEHOV INDIA PRIVATE LIMITED	 CAT C 
397	MATRIX SYNERGIES PRIVATE LIMITED	 CAT D 
398	KIRLOSKAR FERROUS INDUSTRIES LTD	 CAT A 
399	SYNECTIKS IT  AND CONSULTING PRIVATE LIMITED	 CAT D 
400	INVESCO ASSET MANAGEMENT INDIA PRIVATELIMITED	 CAT B 
401	JIANGYIN UNI POL VACUUM CASTING INDIA PRIVATE LIMITED	 CAT D 
402	MANGLAM ARTS PRIVATE LIMITED	 CAT D 
